company,municipality,region,categories,construction_consultant,geological_survey,survey_design
エヌティ測量設計株式会社,高山市,飛騨圏域,測量・設計,0,0,1
ダイシンコンサルタント株式会社,中津川市,東濃圏域,建設コンサルタント・測量・設計,1,0,1
中央エンジニアリング株式会社,岐阜市,岐阜圏域,測量・設計,0,0,1
中野測量設計株式会社,中津川市,東濃圏域,測量・設計,0,0,1
大井調査設計株式会社,恵那市,東濃圏域,測量・設計,0,0,1
大同コンサルタンツ株式会社,岐阜市,岐阜圏域,建設コンサルタント・測量・設計,1,0,1
大建測量設計株式会社,大垣市,西濃圏域,測量・設計,0,0,1
大日コンサルタント株式会社,岐阜市,岐阜圏域,建設コンサルタント・測量・設計,1,0,1
大紘ジオテクノ株式会社,美濃加茂市,中濃圏域,測量・設計,0,0,1
大高理工株式会社,大垣市,西濃圏域,測量・設計,0,0,1
有限会社大矢コンサルタント,恵那市,東濃圏域,測量・設計,0,0,1
有限会社東濃技研,恵那市,東濃圏域,測量・設計,0,0,1
有限会社沖下測量,高山市,飛騨圏域,測量・設計,0,0,1
株式会社GHK,山県市,岐阜圏域,測量・設計,0,0,1
株式会社イビソク,大垣市,西濃圏域,建設コンサルタント・測量・設計,1,0,1
株式会社カワセ測量設計,揖斐川町,西濃圏域,測量・設計,0,0,1
株式会社テイコク,岐阜市,岐阜圏域,建設コンサルタント・地質調査・測量・設計,1,1,1
株式会社トライ,中津川市,東濃圏域,測量・設計,0,0,1
株式会社メイホーエンジニアリング,岐阜市,岐阜圏域,建設コンサルタント・測量・設計,1,0,1
株式会社ユニオン,岐阜市,岐阜圏域,建設コンサルタント・測量・設計,1,0,1
株式会社三栄コンサルタント,岐阜市,岐阜圏域,建設コンサルタント・測量・設計,1,0,1
株式会社三進,大垣市,西濃圏域,建設コンサルタント・測量・設計,1,0,1
株式会社中日コンサルタント,美濃加茂市,中濃圏域,測量・設計,0,0,1
株式会社光測量コンサルタント,中津川市,東濃圏域,建設コンサルタント・測量・設計,1,0,1
株式会社共栄コンサルタント,郡上市,中濃圏域,測量・設計,0,0,1
株式会社創信,岐阜市,岐阜圏域,建設コンサルタント・測量・設計,1,0,1
株式会社北辰測量設計,恵那市,東濃圏域,測量・設計,0,0,1
株式会社南出測量設計,郡上市,中濃圏域,測量・設計,0,0,1
株式会社地域コンサルタント,恵那市,東濃圏域,建設コンサルタント・測量・設計,1,0,1
株式会社大興計測技術,郡上市,中濃圏域,測量・設計,0,0,1
株式会社岐阜ソイルコンサルタント,岐阜市,岐阜圏域,地質調査,0,1,0
株式会社斐太プランニング,高山市,飛騨圏域,測量・設計,0,0,1
株式会社朝日設計コンサルタント,岐阜市,岐阜圏域,建設コンサルタント・地質調査・測量・設計,1,1,1
株式会社東海テクノス,岐阜市,岐阜圏域,地質調査,0,1,0
株式会社東海プランニング,瑞穂市,岐阜圏域,建設コンサルタント・測量・設計,1,0,1
株式会社田原コンサルタント,可児市,中濃圏域,測量・設計,0,0,1
株式会社相和コンサルタント,飛騨市,飛騨圏域,測量・設計,0,0,1
株式会社総合開発調査,岐阜市,岐阜圏域,地質調査,0,1,0
株式会社興栄コンサルタント,岐阜市,岐阜圏域,建設コンサルタント・地質調査・測量・設計,1,1,1
株式会社野田コンサルタント,郡上市,中濃圏域,建設コンサルタント・測量・設計,1,0,1
株式会社飛州コンサルタント,高山市,飛騨圏域,建設コンサルタント・測量・設計,1,0,1
株式会社飛建測量企画,高山市,飛騨圏域,測量・設計,0,0,1
